Pais,año,tasa_suicidio,Gasto_salud,Creci_econ,Educa_,desempleo
Uruguay,2006,13.79,7.74,3.985757573,97.78962708,10.84000015
Uruguay,2005,13.26,7.76,7.450006594,,12.01000023
Uruguay,2004,13.87,8.3,5.072919934,,12.97999954
Uruguay,2003,14.16,9.62,0.877619993,,16.65999985
Uruguay,2002,17.9,9.68,-7.747958307,,16.64999962
Uruguay,2001,13.23,9.8,-4.010015091,,15.05000019
Uruguay,2000,14.5,9.21,-2.276423412,,12.63000011
Venezuela ,2019,2.1,5.37,,,5.096000195
Venezuela ,2018,2.21,4.93,,,5.021999836
Venezuela ,2017,2.24,4.66,,,5.050000191
Venezuela ,2016,2.29,3.92,,97.12709045,5.320000172
Venezuela ,2015,2.37,4.35,,96.60521698,6.079999924
Venezuela ,2014,2.26,5.78,-4.732274757,,6.863999844
Venezuela ,2013,2.61,5.59,-0.086885745,,7.539999962
Venezuela ,2012,3.41,6.45,3.924498809,,6.599999905
Venezuela ,2011,3.81,7.18,2.561081426,94.7702179,6.900000095
Venezuela ,2010,3.6,6.83,-2.905263395,,7.110000134
Venezuela ,2009,3.4,7.55,-4.566962883,95.51199341,6.099999905
Venezuela ,2008,3.74,6.41,3.79891882,,6.25
Venezuela ,2007,4.04,7.78,7.167388944,95.1546402,7.28000021
Venezuela ,2006,4.29,8.1,8.16271834,,8.609999657
Venezuela ,2005,4.77,6.06,8.498854953,,10.65999985
Venezuela ,2004,5.06,6.78,16.26195718,,15.06999969
Venezuela ,2003,5.6,7.51,-9.384252353,,16.78000069
Venezuela ,2002,6.18,7.72,-10.50397532,,16.17000008
Venezuela ,2001,6.52,7.85,1.489571628,92.97982788,13.03999996
Venezuela ,2000,6.35,7.33,1.747075965,,13.98999977
