Pais,año,tasa_suicidio,Gasto_salud,Creci_econ,Educa_,desempleo
Canada,2011,9.63,10.4,2.142309009,,7.510000229
Canada,2010,10.26,10.7,1.949628189,,8.06000042
Canada,2009,10.24,10.72,-4.030419849,,8.340000153
Canada,2008,9.88,9.61,-0.080294839,,6.139999866
Canada,2007,9.86,9.45,5.835793375,,6.039999962
Canada,2006,9.56,9.34,3.118693069,,6.320000172
Canada,2005,10.58,9.04,4.008877889,,6.760000229
Canada,2004,10.27,9.07,2.948998271,,7.190000057
Canada,2003,10.89,9.01,2.879569828,,7.570000172
Canada,2002,10.53,8.86,2.303577137,,7.659999847
Canada,2001,10.86,8.62,0.309869781,,7.21999979
Canada,2000,10.71,8.25,3.945218564,,6.829999924
Chile,2019,8.04,9.33,-0.245035757,,7.289999962
Chile,2018,7.96,9.16,2.281121035,,7.230000019
Chile,2017,8.39,9.07,-0.247251359,96.40228271,6.960000038
Chile,2016,9.18,8.52,0.372098731,,6.739999771
Chile,2015,9.17,8.3,1.105984398,96.87413025,6.510000229
Chile,2014,9.13,7.81,0.692522609,,6.659999847
Chile,2013,9.15,7.44,3.031573491,96.26705933,6.210000038
Chile,2012,9.86,7.02,4.309193989,,6.659999847
Chile,2011,11,6.77,5.057708365,96.70301056,7.340000153
Chile,2010,11.01,6.77,4.750242103,,8.420000076
Chile,2009,12.12,7.21,-2.60145285,97.66423035,11.31000042
Chile,2008,11.76,6.74,2.42625274,97.72245026,9.289999962
Chile,2007,10.65,6.18,3.790320755,,8.430000305
Chile,2006,9.72,6.04,5.200380038,,9.020000458
Chile,2005,9.49,6.59,4.646759137,,9.340000153
Chile,2004,10.01,6.9,6.102812658,,10.15999985
Chile,2003,9.69,7.33,3.005876123,,9.770000458
Chile,2002,9.68,7.27,2.000585088,95.7166214,10.17000008
Chile,2001,10.38,7.15,2.146176048,,10.39000034
Chile,2000,10.52,7.04,4.094314573,,10.48999977
Colombia,2019,3.74,7.71,1.889274487,95.24926758,9.960000038
Colombia,2018,3.87,7.63,1.012856042,95.09250641,9.109999657
Colombia,2017,4.5,7.68,-0.163409332,,8.869999886
Colombia,2016,4.11,7.53,0.700688638,94.65384674,8.68999958
Colombia,2015,4.04,7.52,1.757883717,94.24504852,8.300000191
